====================================================================================================
b439_checks.py -- THE CONTROL SUITE. ### EVERY ARM DECLARED ON THE LOCKED FACE.
  reading : PRE-PUSH
====================================================================================================
  ### THE CHANGED PATHS, BY SIDE OF THIS ACT`S OWN START:
      this act`s unlisted writes : 0 ; inherited dirty : 0
      new act-tool files written : 6 ['b439_checks.py', 'b439_components.py', 'b439_desk_bank.py', 'b439_extract.py', 'b439_reg_gate.py', 'b439_regspec.py']
      the face`s declared cap    : 6
  G-MAXIMIZER-NAMED                PASS the maximizer is named
  G-NAVIGATOR-ARITHMETIC-CHECKED   PASS the navigator`s arithmetic is checked, not adopted
  G-B438-SENTENCE-QUOTED           PASS b438`s sentence is quoted before it is corrected
  G-B438-CORRECTED-NOT-EDITED      PASS and b438`s bank is not edited
  G-EXPLANATION-VERDICT            PASS the explanation gets one of the three verdicts
  G-POSITION-SCORED-FROM-VALUES    PASS the replacement is scored from printed values, with its exceptions structured rather than counted away
  G-AMPLITUDE-ARGUMENT-SHOWN       PASS that the amplitude peaks at the centre is shown, not asserted
  G-U0-SEARCH-PRINTED              PASS the search for u0 is printed
  G-U0-HITS-HANDREAD               PASS and every hit on the value is opened at its own line
  G-U0-NAMED-OR-NOT                PASS the naming question is answered, with provenance counted
  G-U0-BALANCE-STATED              PASS whether u0 is where the two constituents balance is stated
  G-U0-CLOSED-FORM-ANSWERED        PASS and whether the record gives a closed form
  G-U0-TWO-ROUTES                  PASS u0 is located by two routes that share no code
  G-U0-TOLERANCE-STATED            PASS with a tolerance stated before the comparison
  G-WHAT-OR-WHERE-SAID             PASS and whether the corpus can say what it is or only where
  G-C4-PREMISE-CHECKED             PASS the order`s conditional premise is checked before it is answered
  G-C4-PRICE-REPORTED              PASS a price is reported from the three the order names
  G-C4-LANES-ANSWERED              PASS and whether either lane blocks it
  G-C4-NOT-OPENED                  PASS and it is priced, not opened
  G-THREE-FACTS-NAMED              PASS the three finite facts are named
  G-FACT-TWO-QUALIFIED             PASS and the second is qualified by Component 1`s answer
  G-NOTHING-BUILT-FOR-THE-KERNEL   PASS and nothing is built for the kernel
  G-N1-APART                       PASS (N1)`s two clauses are printed apart
  G-N2-APART                       PASS (N2)`s two clauses are printed apart
  G-N3-APART                       PASS (N3)`s two clauses are printed apart
  G-N4-APART                       PASS (N4)`s two clauses are printed apart
  G-NOKERNELBUILD                  PASS no kernel build log was written
  G-NOLEANEDIT                     PASS no .lean file moved
  G-NOFETCH                        PASS nothing was fetched
  G-NOGRADE-MOVED                  PASS no grade is conferred, moved or minted
  G-NOTERMINAL-RENAMED             PASS no terminal is renamed
  G-NONEWINSTRUMENT                PASS no instrument file moved
  G-NONEWFAMILY                    PASS no new family is defined
  G-NOATLAS-EDIT                   PASS the atlas is byte-unmoved
  G-NOLADDER-EDIT                  PASS SIDE-window is byte-unmoved
  G-NOLANE-OPENED                  PASS no lane is opened
  G-NOPREMISE                      PASS no premise is discharged
  G-NODOOR                         PASS no door is restated
  G-NOROUTE                        PASS no route is proposed
  G-NOKAPPA                        PASS no kappa is measured
  G-NORULE-STRUCK                  PASS no rule is struck, amended or widened
  G-NODEPOSIT                      PASS no deposit action
  G-NOH2-MOVED                     PASS h2 is read and not moved
  G-NOLOCKEDFACE                   PASS no prior locked face moved
  G-NOPRIORBANK                    PASS no prior act`s bank moved, the three ritual-rewritten files excepted
  G-NOBANKEDFERRY                  PASS no banked ferry moved
  G-NOFOLD                         PASS no fold was run
  G-NOKEYSTONE-EDIT                PASS no keystone document moved
  G-NOCELL-WRITTEN                 PASS FACES_LEDGER.md is byte-unmoved
  G-NOSEVENTH-SITE                 PASS the register stays frozen at six
  G-ARC-CHECKPOINTED-AFTER-IV      PASS the arc stays checkpointed after site (iv)
  G-FOUR-LISTS-OPEN                PASS no list of the four is closed
  G-DISPROOF-LANE-NOT-OPENED       PASS the disproof lane is not opened
  G-CORPUS-SCOPE                   PASS only the two append-only corpus documents moved
  G-TRAIL-APPEND-ONLY              PASS OPEN_TRAILS.md is appended to and not rewritten
  G-CORR-APPEND-ONLY               PASS CORRESPONDENCE.md is appended to and not rewritten
  G-WRITELIST-KINDS                PASS this act wrote nothing its locked face does not name
  G-WRITELIST-NAMES-PATHS          PASS the write list names paths, a generator with a bound, and the addendum slot
  G-WRITELIST-COUNTS-NEW           PASS the write ledger sees NEW files
  G-NOSTAGE-A                      PASS no `git add -A` in this act`s own tools
  G-NOBORROWEDBAR                  PASS every bar on this face is this act`s own
  G-ARMS-DECLARED-EQ-RUN           PASS the arms declared on the face are exactly the arms run
  G-ARMS-OWN-BANK                  PASS every arm reads this act`s own bank
  G-ARMS-STRIP-PROSE               PASS the source-reading arms strip comments and strings by tokenizer
  G-ARMS-FOLD-MARKERS              PASS the prose-reading arms fold markup before matching
  G-ARMS-NO-SUBSTRING-VERDICT      PASS verdicts are read by line
  G-ARMS-EOL-NORMALISED            PASS banked tables are matched with line endings normalised
  G-TWO-READINGS-TWO-FILES         PASS the suite writes its two readings to two files
  G-NOWRAP-MIDTOKEN                PASS the components record wraps at word boundaries
  G-NOSTRAY-PLACEHOLDER            PASS no format string is printed without its arguments
  G-MUSTFAIL                       FAIL CONTROL -- a false arm must fail; it did

====================================================================================================
  ### ARMS RUN : 96. ### PASSING : 96. ### FAILING : 0 
  ### ### **VERDICT : ALL ARMS PASS**
====================================================================================================
